Keyword,Count,Percentage
"instructor",1,0.01
"family members",1,0.01
"diffusing capacity",1,0.01
"extremely low",1,0.01
"caractéristiques vocationnelles personnelles",1,0.01
"inemployable sur le marché",1,0.01
"pre-existing impairments",1,0.01
"hanche droite",1,0.01
"résidents",1,0.01
"entitlement for a circulation booster",1,0.01
"prescription eye glasses",1,0.01
"waving",1,0.01
"sign",1,0.01
"torn left knee meniscus",1,0.01
"pre-existing left knee osteoarthritis",1,0.01
"pound boxes",1,0.01
"amblyopia",1,0.01
"pre-injury wage",1,0.01
"suitable on a part-time basis",1,0.01
"part-time basis worker is entitled",1,0.01
"redetermination for the left shoulder",1,0.01
"work-related left shoulder strain",1,0.01
"audioconference",1,0.01
"entitlement for bilateral upper extremity",1,0.01
"entitlement for neck",1,0.01
"roughly five days",1,0.01
"anatomical predisposition",1,0.01
"patella dislocations",1,0.01
"measurements taken",1,0.01
"subcategories",1,0.01
"worker nor the worker",1,0.01
"thoracic hypomobility",1,0.01
"post-concussion syndrome injury",1,0.01
"co-worker stated",1,0.01
"second co-worker",1,0.01
"provoked the co-worker",1,0.01
"pre-existing non-organic",1,0.01
"specialty clinic report",1,0.01
"occupational irritant contact dermatitis",1,0.01
"hand dermatitis",1,0.01
"dermographism",1,0.01
"inconsistent with the organic findings",1,0.01
"rehabilitation institute",1,0.01
"tube",1,0.01
"tubes",1,0.01
"prior on-time",1,0.01
"bilateral superficial vein thrombosis",1,0.01
"entitlement for medical cannabis",1,0.01
"decompression surgery",1,0.01
"logistics",1,0.01
"non-cooperation with a health care",1,0.01
"due to non-cooperation",1,0.01
"flare",1,0.01
"rejecting",1,0.01
"intraneural root fibrosis",1,0.01
"muscle tension dysphonia",1,0.01
"laryngitis",1,0.01
"recovery from his work-related neck",1,0.01
"full recovery from his work-related",1,0.01
"tremors",1,0.01
"pizza making",1,0.01
"part-time cashier",1,0.01
"paperwork",1,0.01
"lrazuzta",1,0.01
"returning to full-time employment",1,0.01
"foundation",1,0.01
"washing",1,0.01
"pre-existing left ulnar impaction syndrome",1,0.01
"coursework",1,0.01
"amount",1,0.01
"pandemic-related",1,0.01
"statutory review",1,0.01
"rubber process emissions",1,0.01
"tire",1,0.01
"treating family physician",1,0.01
"non-work accident",1,0.01
"disputed phrases",1,0.01
"deferred profit-sharing plan",1,0.01
"non-work-related conditions that contributed",1,0.01
"weight-bearing",1,0.01
"memos",1,0.01
"voicemail",1,0.01
"outlined",1,0.01
"reflux laryngitis",1,0.01
"diagnosed as vocal cord nodules",1,0.01
"buy-out package",1,0.01
"entitlement for a right inguinal",1,0.01
"bi-polar",1,0.01
"lacunar infarcts",1,0.01
"asthma exacerbation",1,0.01
"legal services",1,0.01
"as-needed basis",1,0.01
"compensable low back condition",1,0.01
"light cleaning housekeeping",1,0.01
"worker has occupational restrictions",1,0.01
"gatekeeper",1,0.01
"six-month appeal time limit worker",1,0.01
"denying entitlement to bronchial asthma",1,0.01
"diffuse idiopathic skeletal hyperostosis",1,0.01
"roughly seven days",1,0.01
"wedge",1,0.01
"beam",1,0.01
"histories",1,0.01
"decreased visual acuity",1,0.01
"unrepairable",1,0.01
"landscaping",1,0.01
"transgender",1,0.01
"holster",1,0.01
"disruptions",1,0.01
"syndrome du canal carpien",1,0.01
"biscuits",1,0.01
"épicondylite",1,0.01
"basis to re-open",1,0.01
"lattice",1,0.01
"virement",1,0.01
"vice-président",1,0.01
"summer break",1,0.01
"work-transition services",1,0.01
"suitable alternative work",1,0.01
"full-time earnings",1,0.01
"vertebral artery",1,0.01
"worker withdraws his objection",1,0.01
"cash desk",1,0.01
"duties as a plumber",1,0.01
"pre-accident hours",1,0.01
"slusher",1,0.01
"bulldozer",1,0.01
"medical receptionist",1,0.01
"pet hotel",1,0.01
"exposure to uranium",1,0.01
"recurrent right renal urolithiasis",1,0.01
"cerebral microvascular ischemic changes",1,0.01
"benign prostate hypertrophy",1,0.01
"investigation",1,0.01
"fault",1,0.01
"calcaneus",1,0.01
"anteroinferior aspect",1,0.01
"post-traumatic migraine",1,0.01
"ratings",1,0.01
"fully co-operated",1,0.01
"equilibrium",1,0.01
"yelling",1,0.01
"screaming",1,0.01
"subject to the statutory",1,0.01
"heated hand grips",1,0.01
"reimbursement for the cost",1,0.01
"accommodate",1,0.01
"heel fracture",1,0.01
"tray filler",1,0.01
"serious",1,0.01
"journeyperson",1,0.01
"hertz",1,0.01
"medication pick-up",1,0.01
"work-related pleural plaques",1,0.01
"sensitivity",1,0.01
"powers",1,0.01
"produce",1,0.01
"relation to the worker",1,0.01
"ruling",1,0.01
"bursal tear",1,0.01
"pre-injury hourly wage",1,0.01
"shoulder showed low-grade partial-thickness tears",1,0.01
"strut",1,0.01
"treat the work-related",1,0.01
"breaks for positional changes",1,0.01
"chalet",1,0.01
"left-sided neck",1,0.01
"employer breached their re-employment obligation",1,0.01
"referenced",1,0.01
"worker indicated",1,0.01
"compatibility between the compensable accident",1,0.01
"exposure to arsenic trioxide",1,0.01
"tetrachlorodibenzo-p-dioxin",1,0.01
"pre-existing rotator cuff tendinopathy",1,0.01
"pre-existing major depressive disorder",1,0.01
"work offered by the employer",1,0.01
"global pandemic",1,0.01
"staffing shortages caused",1,0.01
"detraining",1,0.01
"de-training",1,0.01
"post-traumatic vision syndrome",1,0.01
"heat",1,0.01
"facial abrasion",1,0.01
"revised hearing ready letter",1,0.01
"pre-existing history",1,0.01
"janitorial work",1,0.01
"fraying",1,0.01
"partial tearing undersurface",1,0.01
"sprains",1,0.01
"approximated her pre-injury earnings",1,0.01
"kiln pit",1,0.01
"programmable logic control technician",1,0.01
"worker failed to co-operate",1,0.01
"semester",1,0.01
"psychoprofessionnelle",1,0.01
"combined value chart",1,0.01
"stiffness",1,0.01
"low back radiculopathy",1,0.01
"interstitial fibrosis",1,0.01
"lung transplant",1,0.01
"immobility",1,0.01
"chronic osteitis pubis",1,0.01
"carpi ulnaris tenosynovitis",1,0.01
"cochlear-vestibular",1,0.01
"gun belt",1,0.01
"mold",1,0.01
"aggravation exacerbation",1,0.01
"cubic meter",1,0.01
"long term average earnings",1,0.01
"whether the board was correct to recalculate long term average earnings under s. 53 wsia",1,0.01
"workers in permanent employment and short term average earnings under opm doc. no. 18-02-03",1,0.01
"mechanical application versus fairness principle per decision no. 1734/07",1,0.01
"long term recalculation equals short term recalculation",1,0.01
"appeal granted | workplace health and safety",1,0.01
"whether the suitable occupation of truck driver was suitable under opm docs. nos. 19-03-03 and 19-03-05",1,0.01
"psycho-vocational assessment did not identify truck driver",1,0.01
"emotional, psychological and physical permanent impairment symptomology considered",1,0.01
"driving not tolerated per treating physician",1,0.01
"board to determine another so without training at entry-level wages",1,0.01
"further wt services directed",1,0.01
"labelling",1,0.01
"tendinosis disablement",1,0.01
"breach",1,0.01
"lower extremity sensory",1,0.01
"urinary symptoms",1,0.01
"motor dysfunction",1,0.01
"thickness subscapularis rotator cuff tear",1,0.01
"hiatal",1,0.01
"significant non-compensable",1,0.01
"representative submitted that the employer",1,0.01
"closely connected",1,0.01
"notch",1,0.01
"pre-printed checklist",1,0.01
"workers’ compensation benefits",1,0.01
"medical authorization to be off work between specified dates",1,0.01
"functional abilities form indicating full duties as of december 4",1,0.01
"whether worker entitled to loe from november 23 to december 4",1,0.01
"wsia framework applied",1,0.01
"medical evidence accepted",1,0.01
"loe benefits awarded | workplace health and safety",1,0.01
"whether worker had psychotraumatic disability pi at mmr",1,0.01
"adjustment disorder with worry and flashbacks found",1,0.01
"reliance on wsib community mental health program report",1,0.01
"comparator to decision no. 700/20 discussed",1,0.01
"nel quantum assessed",1,0.01
"10% nel awarded | workplace health and safety",1,0.01
"entitlement precluded by policy",1,0.01
"whether cpd benefits available where psychotraumatic disability pi granted",1,0.01
"board policy barring dual entitlement applied",1,0.01
"cpd issue rendered moot by psychotraumatic disability finding",1,0.01
"claim for cpd considered and rejected",1,0.01
"cpd benefits denied",1,0.01
"chemical inhalation",1,0.01
"department responsible for ensuring on-time",1,0.01
"misidentified",1,0.01
"gap",1,0.01
"gross post-injury determined earnings",1,0.01
"closely linked to an on-time",1,0.01
"anxiety arousals",1,0.01
"neighbor",1,0.01
"novel coronavirus",1,0.01
"maintenance",1,0.01
"workforce",1,0.01
"days lost due to illness",1,0.01
"pre-existing mental",1,0.01
"episodic neurological",1,0.01
"worker had a moderate pre-existing",1,0.01
"obligation to re-employ the worker",1,0.01
"states that a worker",1,0.01
"bilateral cervical brachial syndrome",1,0.01
"minimum wage hourly rate",1,0.01
"copper wire technician",1,0.01
"medial gastrocnemius tear",1,0.01
"cramps",1,0.01
"classroom",1,0.01
"unpredictable",1,0.01
"diffuse annular disc bulge present",1,0.01
"orthopaedic mattress with adjustable base",1,0.01
"restore her pre-accident earnings",1,0.01
"negligent",1,0.01
"cost",1,0.01
"ongoing left knee problems",1,0.01
"self-serve gas station attendant",1,0.01
"high-end wages",1,0.01
"worker cooperated",1,0.01
"shingles",1,0.01
"mydriasis",1,0.01
"ride-share company",1,0.01
"non-covered self-employment",1,0.01
"summons",1,0.01
"return to full-time",1,0.01
"bread",1,0.01
"bucket-handle",1,0.01
"shirts",1,0.01
"real world real employer concept",1,0.01
"fraud",1,0.01
"cleaners",1,0.01
"subject to the statutory reviews",1,0.01
"rectal cancer",1,0.01
"insulation",1,0.01
"roasters",1,0.01
"wherever this document occurs",1,0.01
"updated access to the worker",1,0.01
"pre-existing cervical spine impairment",1,0.01
"chartered accountant",1,0.01
"entitled to commence",1,0.01
"torticollis",1,0.01
"wkr stated",1,0.01
"toluene",1,0.01
"respiratory irritant",1,0.01
"odour",1,0.01
"full-time employee",1,0.01
"hip bursitis",1,0.01
"sad",1,0.01
"lung pleural effusion",1,0.01
"atypical",1,0.01
"grafting",1,0.01
"entrapment neuropathy",1,0.01
"elevator incident",1,0.01
"concussion with post-concussion syndrome",1,0.01
"otolaryngologist",1,0.01
"modified pre-injury job",1,0.01
"syncope-type",1,0.01
"restaurant owner",1,0.01
"employer breached its re-employment obligation",1,0.01
"servers",1,0.01
"breach its re-employment obligation",1,0.01
"whole-body impairment",1,0.01
"inadvertent administrative error",1,0.01
"exacerbated",1,0.01
"private home-care service",1,0.01
"hypochlorite",1,0.01
"injured",1,0.01
"reoccurrence",1,0.01
"electronics",1,0.01
"knee meniscal tears",1,0.01
"clinical rating specialist",1,0.01
"arterial wall",1,0.01
"exertion",1,0.01
"soreness",1,0.01
"bullous",1,0.01
"hypoplastic trochlea",1,0.01
"bilateral elbow condition",1,0.01
"anorectal function",1,0.01
"request for commutation",1,0.01
"financial",1,0.01
"epoxy",1,0.01
"pronator teres syndrome",1,0.01
"peremptory to the worker",1,0.01
"rescheduled hearing date",1,0.01
"syrinx",1,0.01
"alcoholism",1,0.01
"nerve irritation stimulation",1,0.01
"criterion is met",1,0.01
"occasionally",1,0.01
"nonorganic",1,0.01
"keloids",1,0.01
"getting worse",1,0.01
"worker was diagnosed",1,0.01
"integrated cerebral functions",1,0.01
"cross the picket line",1,0.01
"recondition",1,0.01
"full pre-accident wages",1,0.01
"entitlement to benefits for bilateral",1,0.01
"aggravating her pre-existing bilateral",1,0.01
"emploi",1,0.01
"pre-injury work",1,0.01
"savoir",1,0.01
"therapeutic hot tub",1,0.01
"dysplastic trochlea",1,0.01
"patellar",1,0.01
"qhs",1,0.01
"able to obtain employment",1,0.01
"bilateral calcific tendinopathy",1,0.01
"partial supraspinatus tear",1,0.01
"molded pipe",1,0.01
"amalgamate",1,0.01
"cerebral aneurysm",1,0.01
"reconsideration clarification",1,0.01
"performance review",1,0.01
"rotator cuff shoulder tendinosis",1,0.01
"upper trapezius strain",1,0.01
"cervical myofascial strain",1,0.01
"benefits for post-traumatic stress disorder",1,0.01
"entitled to benefits for post-traumatic",1,0.01
"shoulder arthroscopic",1,0.01
"letter advised that the worker",1,0.01
"backache",1,0.01
"gradual-onset injury",1,0.01
"furnace rebuilds",1,0.01
"ticket taker",1,0.01
"ferry docks",1,0.01
"partially disabled from working",1,0.01
"chronic neuropathic pain",1,0.01
"gel mattress",1,0.01
"pubic ramus fracture",1,0.01
"moderate acromioclavicular joint space arthropathy",1,0.01
"assembly",1,0.01
"mast-climber",1,0.01
"wood planking",1,0.01
"drill",1,0.01
"inspector packer",1,0.01
"sacrococcygeal",1,0.01
"injury to the left upper",1,0.01
"uveal melanoma",1,0.01
"discussion paper",1,0.01
"patello-femoral",1,0.01
"equina",1,0.01
"bifurcate",1,0.01
"douleur chronique",1,0.01
"compensable subdural hematoma",1,0.01
"carotid artery dissection",1,0.01
"neuroforaminal stenosis",1,0.01
"based on entry level wages",1,0.01
"tier",1,0.01
"sit stand stool",1,0.01
"ventral hernias",1,0.01
"table tops",1,0.01
"lethargy",1,0.01
"chondropathy",1,0.01
"pre-existing non-compensable right shoulder",1,0.01
"ear infection",1,0.01
"initial entitlement for bilateral",1,0.01
"metastatic",1,0.01
"med cart",1,0.01
"rotator cuff tendon tear",1,0.01
"enthesophyte formation with mild subacromial",1,0.01
"non-compensable knee surgery",1,0.01
"cartilage",1,0.01
"firefighters",1,0.01
"asphalt",1,0.01
"paver",1,0.01
"pancreatitis",1,0.01
"calcification",1,0.01
"fat pad",1,0.01
"pre-existing chondrosis",1,0.01
"psychological assessment",1,0.01
"distal biceps",1,0.01
"hired",1,0.01
"process server",1,0.01
"reimbursement for the costs",1,0.01
"medical cannabis subsequent",1,0.01
"breached their re-employment obligation",1,0.01
"shunt",1,0.01
"radial ulnar joint",1,0.01
"joint instability",1,0.01
"boom",1,0.01
"cauda equine",1,0.01
"proceeding",1,0.01
"placed on inactive status",1,0.01
"reinitiated",1,0.01
"potential",1,0.01
"worker was non-compliant",1,0.01
"wear a mask",1,0.01
"birthing centre",1,0.01
"computer programmer",1,0.01
"relapsing polychondritis",1,0.01
"junior forest ranger",1,0.01
"plantar fascia",1,0.01
"three-step test",1,0.01
"adjudicated",1,0.01
"shin",1,0.01
"reasonable self-directed vocational rehabilitation activities",1,0.01
"sensation",1,0.01
"facetogenic dysfunction",1,0.01
"shoulder sprain",1,0.01
"disc desiccation",1,0.01
"left-sided sciatic leg symptoms",1,0.01
"cupons",1,0.01
"polishing",1,0.01
"thrown from a horse",1,0.01
"towels",1,0.01
"post-accident earnings",1,0.01
"time limit provisions",1,0.01
"distal femur fracture",1,0.01
"lateral meniscal tears",1,0.01
"beyond the six-month statutory time",1,0.01
"rotator cuff pathology",1,0.01
"shoulder biceps tendonitis",1,0.01
"orthopaedic bed",1,0.01
"work disruption lay-off",1,0.01
"appropriate clinical assessment",1,0.01
"dried",1,0.01
"picking up garbage",1,0.01
"earn income through new employment",1,0.01
"ongoing left elbow condition",1,0.01
"snowmobile",1,0.01
"smoke detector carbon monoxide unit",1,0.01
"pre-existing blood clot condition",1,0.01
"post-traumatic migraines",1,0.01
"respiratory impairment",1,0.01
"double lung transplant yields",1,0.01
"worker entitlement to medical cannabis",1,0.01
"visual",1,0.01
"parking lot attendant ticket taker",1,0.01
"additional physiotherapy treatments",1,0.01
"subchondral collapse",1,0.01
"ankle replacement",1,0.01
"trench",1,0.01
"ball",1,0.01
"dust collector",1,0.01
"hexavalent",1,0.01
"cutting machine",1,0.01
"procedural evidentiary issue was encountered",1,0.01
"request for entitlement for osteoarthritis",1,0.01
"anteriorly indents the thecal sac",1,0.01
"disk",1,0.01
"repositioning",1,0.01
"self-employed truck driver",1,0.01
"characterized as a worker",1,0.01
"lattice degeneration",1,0.01
"prism glasses",1,0.01
"replacement eyewear",1,0.01
"polysensibilité chimique",1,0.01
"symptômes neuropathiques",1,0.01
"relevant documentary evidence is preserved",1,0.01
"hobby",1,0.01
"seroma",1,0.01
"fitness testing",1,0.01
"debt collector",1,0.01
"two-week period",1,0.01
"purchase",1,0.01
"accessibility",1,0.01
"foot impairments",1,0.01
"common extensor tendon tear",1,0.01
"sent to the employer",1,0.01
"knee arthroplasty",1,0.01
"compensable left ankle",1,0.01
"perineural cyst",1,0.01
"compensation for future loss",1,0.01
"diminutive",1,0.01
"psychological concerns",1,0.01
"lettre",1,0.01
"milk crate",1,0.01
"redact",1,0.01
"non-compensable shoulder",1,0.01
"psychological report",1,0.01
"walk-in tub",1,0.01
"shower",1,0.01
"part-time capacity",1,0.01
"syncopal episodes",1,0.01
"otolithic",1,0.01
"sporadic lost time",1,0.01
"hamstring tear",1,0.01
"tight subacromial space",1,0.01
"worker pursued decisions on non-organic",1,0.01
"operating a vehicle",1,0.01
"conference",1,0.01
"pre-existing right hip condition",1,0.01
"compensable left ankle injury",1,0.01
"indirect hernia",1,0.01
"cord lipoma",1,0.01
"post-operative frozen shoulder condition",1,0.01
"rendered him partially impaired",1,0.01
"occasional basis tasks that involve",1,0.01
"deemed ability to earn",1,0.01
"deemed to be a worker",1,0.01
"medical transcriptionist",1,0.01
"heart monitor",1,0.01
"heart test",1,0.01
"travel-related expenses associated with undergoing",1,0.01
"reimbursement for travel-related expenses associated",1,0.01
"valgus alignment",1,0.01
"cuboid",1,0.01
"by-law officer",1,0.01
"peer outreach worker",1,0.01
"funding",1,0.01
"minimum wage rate",1,0.01
"technician",1,0.01
"tenosynovitis bilateral wrist median neuritis",1,0.01
"bread trays",1,0.01
"bilateral elbow epicondylitis",1,0.01
"full-thickness tears",1,0.01
"productive",1,0.01
"drug",1,0.01
"non-competition clause",1,0.01
"deep peroneal neuroma",1,0.01
"posterior tibialis",1,0.01
"post-traumatic symptoms",1,0.01
"tingling",1,0.01
"roller rework shop were suitable",1,0.01
"immobilization",1,0.01
"renal colic",1,0.01
"jumping",1,0.01
"positional vertigo",1,0.01
"tinnitus must accompany a compensable",1,0.01
"posterior",1,0.01
"internal impingement",1,0.01
"compensable left wrist injury",1,0.01
"squamous cell carcinoma",1,0.01
"pre-press department",1,0.01
"total right knee replacement",1,0.01
"hip lower extremity",1,0.01
"joint degeneration",1,0.01
"jack hammer",1,0.01
"subdeltoid bursitis",1,0.01
"shows that the worker",1,0.01
"aggressor provoker",1,0.01
"disc protrusion with compression",1,0.01
"seniors residence",1,0.01
"carpentry",1,0.01
"worker with the necessary skills",1,0.01
"tendon nodules",1,0.01
"funds-in-lieu",1,0.01
"methodology",1,0.01
"longitudinal tear",1,0.01
"above-noted",1,0.01
"sill assembly",1,0.01
"convene",1,0.01
"dorsal root pain",1,0.01
"chemical exposure",1,0.01
"lateral epicondylosis",1,0.01
"ulnar neuralgia",1,0.01
"storage rooms",1,0.01
"peptic ulcer disease",1,0.01
"pylori infection",1,0.01
"on-time appeal on hold",1,0.01
"kyste",1,0.01
"racine nerveuse",1,0.01
"wood",1,0.01
"organization",1,0.01
"classification unit",1,0.01
"pre-existing bilateral arthritis",1,0.01
"pre-existing bilateral hand",1,0.01
"entitlement for a hot tub",1,0.01
"hot tub as an eligible",1,0.01
"beddings",1,0.01
"beds",1,0.01
"customer service clerk",1,0.01
"locked unit",1,0.01
"work-related strain injuries",1,0.01
"pool area",1,0.01
"chlorine",1,0.01
"plumbing",1,0.01
"shoulder girdle area",1,0.01
"granted under a claim established",1,0.01
"benefits based upon actual earnings",1,0.01
"entitled to a recalculation",1,0.01
"large bowel",1,0.01
"lower quadrant hernia",1,0.01
"small bowel",1,0.01
"union representative with the initials",1,0.01
"paper roll",1,0.01
"rolls",1,0.01
"widow will be permitted",1,0.01
"beneficiaries",1,0.01
"cable technician",1,0.01
"osteopaths",1,0.01
"contusion with parascapular muscle spasms",1,0.01
"focal annular posterior disc tears",1,0.01
"stuffing",1,0.01
"overcompensating",1,0.01
"retinal tears",1,0.01
"height",1,0.01
"malign",1,0.01
"criminal",1,0.01
"pain medications",1,0.01
"facet joint arthritis",1,0.01
"lumbar disc disease",1,0.01
"refer to cellulitis",1,0.01
"computers",1,0.01
"infectious flexor tenosynovitis",1,0.01
"pathogenic bacteria",1,0.01
"cardiologist",1,0.01
"full thickness supraspinatus tear",1,0.01
"epidural injection",1,0.01
"firm file",1,0.01
"privacy",1,0.01
"submits",1,0.01
"compatible with the original",1,0.01
"lacerated liver",1,0.01
"caps",1,0.01
"employer-worker relationship",1,0.01
"early-and-safe-return-to-work",1,0.01
"entitlement for lumbar degenerative disc",1,0.01
"myofascial strain",1,0.01
"midfoot",1,0.01
"shaving",1,0.01
"letter carrier",1,0.01
"water heater",1,0.01
"pollicis brevis",1,0.01
"pre-existing psychological vulnerabilities",1,0.01
"basic self-care",1,0.01
"worker testified that the doctor",1,0.01
"lathe operator",1,0.01
"jib",1,0.01
"secondhand smoke",1,0.01
"reimbursement for registered mail",1,0.01
"bilateral elbows",1,0.01
"metal dust",1,0.01
"able to sustain full-time employment",1,0.01
"pre-existing spondylolytic spondylolisthesis",1,0.01
"work disruptions",1,0.01
"based upon entry-level wage",1,0.01
"minor work-related",1,0.01
"gluteus medius tendon",1,0.01
"jarring",1,0.01
"rhomboid",1,0.01
"textile",1,0.01
"sewing machines",1,0.01
"moderate insertional tendinosis",1,0.01
"entitlement for a neck condition",1,0.01
"bath mat",1,0.01
"bilateral ulnar nerve entrapment",1,0.01
"psycho-vocational testing",1,0.01
"pre-existing non-compensable psychological impairment",1,0.01
"ongoing work-related psychological",1,0.01
"five-year general",1,0.01
"worker sustained a recurrence",1,0.01
"ligamentous injury",1,0.01
"silica exposure",1,0.01
"psychotraumatic disability became manifest",1,0.01
"heat exposure",1,0.01
"high temperatures",1,0.01
"urethra",1,0.01
"compensable neck injury",1,0.01
"recovered her pre-injury earnings",1,0.01
"pneumonia due to esophageal dysmotility",1,0.01
"vibratory tools",1,0.01
"annual review",1,0.01
"glaucoma",1,0.01
"optic",1,0.01
"lesser occipital neuralgia",1,0.01
"atypical carcinoid tumour",1,0.01
"lung function",1,0.01
"organic findings",1,0.01
"subject to any applicable statutory",1,0.01
"ability to earn entry-level minimum",1,0.01
"subscapularis muscle strain",1,0.01
"abdominal muscle tear",1,0.01
"moderate with moderate-severe anxious distress",1,0.01
"stronger than the non-dominant hand",1,0.01
"incorrect",1,0.01
"downside",1,0.01
"work-related hernia",1,0.01
"fundamental errors",1,0.01
"entitlement for prescription drug addiction",1,0.01
"exposure to diesel exhaust",1,0.01
"patellofemoral",1,0.01
"work-hardening program",1,0.01
"plastic surgeon",1,0.01
"due to the global pandemic",1,0.01
"cocaine",1,0.01
"throwing a football",1,0.01
"scarring which is cosmetically offensive",1,0.01
"training program",1,0.01
"initial pre-injury average earnings",1,0.01
"probationary work",1,0.01
"exposure to cold temperatures",1,0.01
"oiler sander",1,0.01
"clearing ice off rail switches",1,0.01
"lifting a tote",1,0.01
"bonus",1,0.01
"quantum for the cervical spine",1,0.01
"dictum",1,0.01
"superolateral humeral",1,0.01
"mild supraspinatus tendinosis",1,0.01
"temporary lay-off",1,0.01
"entitlement to a reassessment",1,0.01
"bench welder",1,0.01
"key",1,0.01
"cumulative respirable dust dose",1,0.01
"work-related causes",1,0.01
"incisor",1,0.01
"work-related left wrist injury",1,0.01
"pre-existing non-compensable left shoulder condition",1,0.01
"rigging",1,0.01
"fish",1,0.01
"pin boning",1,0.01
"benefits following the closure",1,0.01
"work-related right knee impairment",1,0.01
"pre-shift morning report",1,0.01
"welding cable",1,0.01
"non-permanent employee",1,0.01
"knee left lower leg",1,0.01
"lateral tibial",1,0.01
"attempt to renew",1,0.01
"partial deltoid ligament tear",1,0.01
"transplant",1,0.01
"worker was competitively unemployable",1,0.01
"traumatic mydriasis",1,0.01
"decubitus ulcer",1,0.01
"radiating",1,0.01
"cavernous hemangioma",1,0.01
"coal tar",1,0.01
"zip-lining",1,0.01
"rally",1,0.01
"benefits for fibromyalgia",1,0.01
"coal tar pitch volatiles",1,0.01
"non-occupational risk factors",1,0.01
"winter boots",1,0.01
"bilateral hip arthritis",1,0.01
"orthopedic footwear",1,0.01
"pre-existing spinal stenosis",1,0.01
"dealers",1,0.01
"games",1,0.01
"shoulder impingement",1,0.01
"deleted from the case materials",1,0.01
"temporary non-structural soft tissue exacerbation",1,0.01
"low mood",1,0.01
"stress tolerance",1,0.01
"treating physicians",1,0.01
"entitlement to the recognition",1,0.01
"rescheduled peremptory to the worker",1,0.01
"cor pulmonale",1,0.01
"benefits for pulmonary hypertension",1,0.01
"compensable work-related injury",1,0.01
"non-organic condition that prevents",1,0.01
"deadline for objecting",1,0.01
"benefits due to non-co-operation",1,0.01
"epidemiological studies",1,0.01
"pain medication",1,0.01
"periods where the worker",1,0.01
"worker was previously awarded full",1,0.01
"concussive",1,0.01
"subject to any time limits",1,0.01
"sister-in-law",1,0.01
"need for on-time appeals",1,0.01
"flexor carpi ulnaris",1,0.01
"mental health problems",1,0.01
"coiffe des rotateurs",1,0.01
"tendon sus-épineux",1,0.01
"benefits for a right knee",1,0.01
"knee patellar dislocation",1,0.01
"post-traumatic degenerative arthropathy changes",1,0.01
"suspected partial scapholunate ligament tear",1,0.01
"cleaning bunker gear",1,0.01
"benefits for prostate cancer",1,0.01
"high somatic focus perception",1,0.01
"deactivation related primarily to pain",1,0.01
"journeyperson employed by the employer",1,0.01
"permanent disability benefits",1,0.01
"backdating",1,0.01
"scaffolder",1,0.01
"wrist scapholunate ligament tear",1,0.01
"functional stump",1,0.01
"intercondylar notch",1,0.01
"ischium",1,0.01
"propane tank",1,0.01
"on-the-job training with extensive accommodations",1,0.01
"thoracic strain sprain resulting",1,0.01
"automated floor washer",1,0.01
"hip contusion",1,0.01
"urinary",1,0.01
"travailleuse a témoigné",1,0.01
"chantier",1,0.01
"jurisdiction to determine",1,0.01
"mixed anxiety",1,0.01
"stair-climbing",1,0.01
"knee problems",1,0.01
"causal relationship between the worker",1,0.01
"tax auditor",1,0.01
"speech-language pathologist",1,0.01
"erythromelalgia",1,0.01
"recent rib fracture",1,0.01
"bronchial asthma",1,0.01
"partial meniscectomy",1,0.01
"suprapatellar enthesophyte",1,0.01
"worker was non-co-operative",1,0.01
"bi-monthly",1,0.01
"wrist ganglion cyst",1,0.01
"high school diploma",1,0.01
"resume",1,0.01
"job search list",1,0.01
"duodenum",1,0.01
"knee tear",1,0.01
"disc herniation with nerve impingement",1,0.01
"copy",1,0.01
"attached",1,0.01
"shoulder injury as a secondary",1,0.01
"expiration du délai",1,0.01
"frequent vomiting",1,0.01
"entitlement to future economic loss",1,0.01
"chewing",1,0.01
"implants",1,0.01
"dental impairment",1,0.01
"entry-level wage associated",1,0.01
"hosting duties",1,0.01
"entitlement to an adjustable bed",1,0.01
"weighted furniture",1,0.01
"knee contusion abrasion injury",1,0.01
"requirements",1,0.01
"voluntary under-employment",1,0.01
"missionary",1,0.01
"disc bulge herniation",1,0.01
"contemporaneous medical record",1,0.01
"sex crimes unit",1,0.01
"post-concussive migraines",1,0.01
"found",1,0.01
"second-hand smoke",1,0.01
"bilateral adhesive capsulitis",1,0.01
"mechanical engineering technician",1,0.01
"non-compensable hip",1,0.01
"cognitive impairment",1,0.01
"exceptional circumstance supporting a time",1,0.01
"delay filing an on-time",1,0.01
"undated",1,0.01
"subluxating ulnar nerve",1,0.01
"benefits under the plan",1,0.01
"psychotraumatic disability rating schedule",1,0.01
"administrative assistant",1,0.01
"non-destructive quality technician",1,0.01
"creatinine clearance",1,0.01
"ml min",1,0.01
"knee medial meniscus tear",1,0.01
"control",1,0.01
"off-season",1,0.01
"find that the two-month delay",1,0.01
"mistakenly",1,0.01
"including entitlement to the recognition",1,0.01
"forty-four percent",1,0.01
"neurogenic",1,0.01
"related corrective surgeries",1,0.01
"tiny posterior central disc herniation",1,0.01
"baler",1,0.01
"experience as an insulator",1,0.01
"ptosis",1,0.01
"nasal polypectomy",1,0.01
"ulnar positive variance",1,0.01
"shoulder rotator cuff tendinopathy",1,0.01
"benefits flowing from the allowance",1,0.01
"chronic post-traumatic headaches",1,0.01
"compression stockings",1,0.01
"dermatological",1,0.01
